Commodity  code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
23,Construction,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
23,Construction,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
23,Construction,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0,0.02,,4,2,1,5,1
311FT,Food and beverage and tobacco products,carbon dioxide,"kg/2018 USD, purchaser price",0.317,0.019,0.336,,3,2,1,4,1
311FT,Food and beverage and tobacco products,methane,"kg/2018 USD, purchaser price",0.008,0,0.008,,3,2,1,1,1
311FT,Food and beverage and tobacco products,nitrous oxide,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,4,1
311FT,Food and beverage and tobacco products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007,,4,2,1,4,1
313TT,Textile mills and textile product mills,carbon dioxide,"kg/2018 USD, purchaser price",0.272,0.05,0.322,,3,2,1,4,1
313TT,Textile mills and textile product mills,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,3,2,1,1,1
313TT,Textile mills and textile product mills,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
313TT,Textile mills and textile product mills,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,2,1,3,1
315AL,Apparel and leather and allied products,carbon dioxide,"kg/2018 USD, purchaser price",0.078,0.305,0.383,,3,2,1,3,1
315AL,Apparel and leather and allied products,methane,"kg/2018 USD, purchaser price",0.001,0.002,0.002,,3,2,1,1,1
315AL,Apparel and leather and allied products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
315AL,Apparel and leather and allied products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
321,Wood products,carbon dioxide,"kg/2018 USD, purchaser price",0.189,0.029,0.218,,3,2,1,3,1
321,Wood products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
321,Wood products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
321,Wood products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01,,4,2,1,5,1
322,Paper products,carbon dioxide,"kg/2018 USD, purchaser price",0.345,0.021,0.366,,3,2,1,4,1
322,Paper products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
322,Paper products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
322,Paper products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,2,1,4,1
323,Printing and related support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.21,0.02,0.23,,3,2,1,4,1
323,Printing and related support activities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
323,Printing and related support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
323,Printing and related support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,2,1,4,1
324,Petroleum and coal products,carbon dioxide,"kg/2018 USD, purchaser price",0.755,0.018,0.773,,4,2,1,3,1
324,Petroleum and coal products,methane,"kg/2018 USD, purchaser price",0.018,0,0.018,,4,2,1,1,1
324,Petroleum and coal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
324,Petroleum and coal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,4,1
325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.282,0.013,0.295,,4,2,1,4,1
325,Chemical products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.01,0,0.01,,3,2,1,3,1
326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.164,0.009,0.173,,3,2,1,3,1
326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,4,2,1,4,1
327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.499,0.039,0.538,,3,2,1,3,1
327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.001,0,0.002,,4,2,1,1,1
327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.058,0.002,0.06,,2,2,1,2,1
331,Primary metals,methane,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,1,1
331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,3,2,1,2,1
332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.225,0.015,0.239,,3,2,1,3,1
332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.008,0,0.008,,3,2,1,3,1
333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.167,0.019,0.185,,3,2,1,3,1
333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.043,0,0.043,,4,2,1,5,1
334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.043,0.022,0.064,,3,2,1,3,1
334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
