Commodity  code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
61,Educational services,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
61,Educational services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
61,Educational services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
621,Ambulatory health care services,carbon dioxide,"kg/2018 USD, purchaser price",0.088,0,0.088,,3,2,1,3,1
621,Ambulatory health care services,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
621,Ambulatory health care services,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,2,1
621,Ambulatory health care services,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
622,Hospitals,carbon dioxide,"kg/2018 USD, purchaser price",0.144,0,0.144,,3,2,1,3,1
622,Hospitals,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
622,Hospitals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
